,post_id,user_id,viewed,liked,category
193,81,192,1,0,The Igloo
194,81,197,1,0,The Igloo
195,81,216,1,0,The Igloo
196,81,275,0,1,The Igloo
197,81,590,0,1,The Igloo
198,82,5,0,1,Vible
199,82,9,0,1,Vible
200,82,16,1,0,Vible
201,82,167,1,0,Vible
202,83,1,0,1,Vible
203,83,152,1,0,Vible
204,83,167,1,0,Vible
205,83,192,1,0,Vible
206,84,1,0,1,Vible
207,84,5,0,1,Vible
208,84,9,0,1,Vible
209,84,31,0,1,Vible
210,84,36,0,1,Vible
211,84,47,1,0,Vible
212,84,149,1,0,Vible
213,84,152,1,0,Vible
214,84,155,1,0,Vible
215,84,167,1,0,Vible
216,84,192,1,0,Vible
217,84,194,1,0,Vible
218,84,243,1,0,Vible
219,86,1,0,1,Vible
220,86,18,0,1,Vible
221,86,19,0,1,Vible
222,86,47,1,0,Vible
223,86,151,1,0,Vible
224,86,155,1,0,Vible
225,86,167,1,0,Vible
226,86,170,1,0,Vible
227,86,184,1,0,Vible
228,86,185,1,0,Vible
229,86,194,1,0,Vible
230,86,289,1,0,Vible
231,88,18,0,1,E/ACC
232,94,18,0,1,E/ACC
233,97,1,0,1,E/ACC
234,97,18,0,1,E/ACC
235,100,1,0,1,Vible
236,100,9,0,1,Vible
237,100,152,1,0,Vible
238,100,167,1,0,Vible
239,130,47,1,0,Vible
240,130,167,1,0,Vible
241,130,194,1,0,Vible
242,131,31,0,1,Vible
243,132,1,0,1,Vible
244,133,1,0,1,Vible
245,135,31,0,1,Vible
246,142,1,0,1,Vible
247,142,9,0,1,Vible
248,142,18,0,1,Vible
249,142,47,1,0,Vible
250,142,155,1,0,Vible
251,142,167,1,0,Vible
252,142,174,1,0,Vible
253,142,520,0,1,Vible
254,143,1,0,1,Vible
255,143,47,1,0,Vible
256,143,151,1,0,Vible
257,143,155,1,0,Vible
258,143,167,1,0,Vible
259,143,170,1,0,Vible
260,143,175,1,0,Vible
261,143,184,1,0,Vible
262,143,185,1,1,Vible
263,143,187,0,1,Vible
264,143,240,1,0,Vible
265,143,289,1,0,Vible
266,143,355,1,0,Vible
267,143,359,1,0,Vible
268,143,365,1,0,Vible
269,143,368,1,0,Vible
270,143,435,0,1,Vible
271,147,167,1,0,Vible
272,148,1,0,1,Vible
273,148,9,0,1,Vible
274,148,47,1,0,Vible
275,148,155,1,0,Vible
276,148,167,1,0,Vible
277,150,47,1,0,Vible
278,150,152,1,0,Vible
279,150,155,1,0,Vible
280,150,167,1,0,Vible
281,150,192,1,0,Vible
282,150,194,1,0,Vible
283,150,404,0,1,Vible
284,151,1,0,1,Vible
285,151,5,0,1,Vible
286,151,19,0,1,Vible
287,151,26,1,0,Vible
288,151,36,1,0,Vible
289,151,47,1,0,Vible
290,151,68,1,0,Vible
291,151,118,1,0,Vible
292,151,119,1,0,Vible
293,151,120,1,0,Vible
294,151,121,1,0,Vible
295,151,123,1,0,Vible
296,151,124,1,0,Vible
297,151,127,1,0,Vible
298,151,128,1,0,Vible
