id,category_id,title,video_link
73,4,elevate,https://video-cdn.socialverseapp.com/afrobeezy_2dc9bc05-86dc-432f-a212-0a8cbea4e00d.mp4
74,4,war of images,https://video-cdn.socialverseapp.com/afrobeezy_edb5e264-eddc-41fa-b500-15eabef93a35.mp4
75,4,what is reality?,https://video-cdn.socialverseapp.com/afrobeezy_38834cc4-6295-4b0a-9716-268831ecac37.mp4
77,4,escape the matrix,https://video-cdn.socialverseapp.com/afrobeezy_31034534-4553-4f01-887c-78158298dbbe.mp4
78,4,choose your path,https://video-cdn.socialverseapp.com/afrobeezy_2b4c0bbd-de39-45ae-ac40-60261e658412.mp4
79,4,psywar,https://video-cdn.socialverseapp.com/afrobeezy_f81820dd-88bc-4377-9bab-b0cd94a54b6e.mp4
80,4,don’t get distracted,https://video-cdn.socialverseapp.com/afrobeezy_705c4ab4-3b9b-46f6-b381-80ed3e0c16d5.mp4
81,3,how are the 2023 fitness goals going?,https://video-cdn.socialverseapp.com/Partik_9d6a7bda-798f-4768-a9cc-a2e8d7091d86.mp4
82,2,Decide to be extraodinary and do,https://video-cdn.socialverseapp.com/kinha_db5268a0-e503-4ab3-8ac4-fb0990d7d478.mp4
83,2,Clarity brings power.,https://video-cdn.socialverseapp.com/kinha_9c5f8806-b073-46e7-b0a1-634fc1410a93.mp4
84,2,Just focus on today.,https://video-cdn.socialverseapp.com/kinha_1cf00dde-a18e-4bbf-b74b-0c4a840c83f3.mp4
85,2,Fun fact: Oscar Wilde was a homosexual. I think that sort of adds another layer of perspective to this quote. Almost as if he was viewing the relationships between men and women from an outside point of view.,https://video-cdn.socialverseapp.com/kinha_6c5d96da-f27c-43b9-bef5-63d919e7eaee.mp4
86,2,Revolutionizing Men's Mental Health: Your $0.99 Matters,https://video-cdn.socialverseapp.com/kinha_64cc8197-8e8a-4a17-88d7-de97e3692324.mp4
88,4,are you going to make it?,https://video-cdn.socialverseapp.com/afrobeezy_385351b7-9211-401f-a4b1-f130c22f0102.mp4
89,4,"it all begins in your mind, never give up!",https://video-cdn.socialverseapp.com/afrobeezy_d7854ad8-c4e4-41ac-8246-e1c6e61fbf5a.mp4
90,4,you’re in a danger of living life so comfortable,https://video-cdn.socialverseapp.com/afrobeezy_41fa731b-142c-4594-8377-738a980408bf.mp4
91,4,you’re your greatest ally,https://video-cdn.socialverseapp.com/afrobeezy_4641ec43-f3e0-4452-88fb-d1f7397a638d.mp4
93,4,do not conform to a dying society,https://video-cdn.socialverseapp.com/afrobeezy_82566c8a-f13a-4403-bb5f-5c8ab3c5fa86.mp4
94,4,the historical man,https://video-cdn.socialverseapp.com/afrobeezy_f75af959-4459-4aff-a313-4f3ccd2a7377.mp4
95,4,modern life is set up to distract you,https://video-cdn.socialverseapp.com/afrobeezy_db2bc661-52b4-4a42-a048-55d890d6f838.mp4
97,4,awakening,https://video-cdn.socialverseapp.com/afrobeezy_7187d84f-3bb5-4e53-920d-127e31bd0c79.mp4
100,2,,https://video-cdn.socialverseapp.com/kinha_571af3f9-91c2-43f3-8e23-35ad41ec1fcb.mp4
129,2,,https://video-cdn.socialverseapp.com/kinha_56834abd-2f77-4ca8-8e40-7ba86038058b.mp4
130,2,,https://video-cdn.socialverseapp.com/kinha_596f6991-df85-4152-b0a0-0081faecf476.mp4
131,2,,https://video-cdn.socialverseapp.com/kinha_16142c01-a0bb-4f88-bd31-a3c4aeb8a1df.mp4
132,2,,https://video-cdn.socialverseapp.com/kinha_16fac6ee-e758-4ab9-aec8-7c8afa1576cf.mp4
133,2,,https://video-cdn.socialverseapp.com/kinha_a7861c03-37a8-4ab9-97fd-1f6853700a4e.mp4
135,2,,https://video-cdn.socialverseapp.com/kinha_5efe6cf0-454c-4fcf-97ae-54115569ba33.mp4
137,2,,https://video-cdn.socialverseapp.com/kinha_16d30c76-d5d3-4b40-ad0b-f1a5054dcb85.mp4
